file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0443_0127_1320298_to_1322943,སྒྲུང་དེབ་ཀློག་ན་ཡར་རྒྱས་འགྲོ་ཡ་ཡོད་རཱ། ཨོ་དེ་ཡིན་དུས་ཙམ་པ་ལ།  ,sgrung deb klog na yar rgyas 'gro ya yod rA/_o de yin dus tsam pa la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0443_0127_1320298_to_1322943.wav,STT_NS,3,63,2.645,wav16k/STT_NS_M0443_0127_1320298_to_1322943.wav,སྒྲུང་དེབ་ཀློག་ན་ཡར་རྒྱས་འགྲོ་ཡ་ཡོད་རཱ། ཨོ་དེ་ཡིན་དུས་ཙམ་པ་ལ།
STT_NS0184_0179_1204940_to_1207482,རང་དབང་ཆེན་པོ། རང་དབང་ཆེན་པོ་རེད་བ་ད།  ,rang dbang chen po/_rang dbang chen po red ba da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0184_0179_1204940_to_1207482.wav,STT_NS,3,39,2.542,wav16k/STT_NS0184_0179_1204940_to_1207482.wav,རང་དབང་ཆེན་པོ་། རང་དབང་ཆེན་པོ་རཱ་ད།
STT_NS0184_0181_1211845_to_1214586,བདུན་ཚང་དགོས་རེད་དཱ། བརྒྱད་ཚང་དགོས་རེད་དཱ། ཨེ་འདྲའི་མི་འདུག་བ་རཱ་ཡ།  ,bdun tshang dgos red dA/_brgyad tshang dgos red dA/_e 'dra'i mi 'dug ba rA ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0184_0181_1211845_to_1214586.wav,STT_NS,3,69,2.741,wav16k/STT_NS0184_0181_1211845_to_1214586.wav,བདུན་ཚང་དགོས་རེད་དཱ། བརྒྱད་ཚང་དགོས་རེད་དཱ་ཨེ་འདྲའི་མི་འདུག་བ་རཱ་ཡ།
STT_NS0184_0185_1228558_to_1234308,འཁྱོག་པོ་འཁྱོག་པོ་བརྗོད་པ་གི་རྒྱན་ཅིག་ཡོད་རཱ། ཨོ་དེ་ཚོ་ཚང་མ་ལྷུག་ལྷུག་རྩོམ་ནང་ལ་དཔེ་བེད་སྤྱོད་བཏང་གི་འདུག་རཱ་ཡང་།  ,'khyog po 'khyog po brjod pa gi rgyan cig yod rA/_o de tsho tshang ma lhug lhug rtsom nang la dpe bed spyod btang gi 'dug rA yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0184_0185_1228558_to_1234308.wav,STT_NS,3,115,5.75,wav16k/STT_NS0184_0185_1228558_to_1234308.wav,འཁྱོག་པ་ཁྱོག་པོ་བརྗོད་པ་གི་རྒྱན་གཅིག་ཡོད་རཱ། ཨོ་དེ་ཚོ་ཚང་མ་ལྷུགལྷུག་རྩོམ་ནང་ལ་དཔེ་བེད་སྤྱོད་གཏང་གི་འདུག་རཱ་ཡ།
STT_AB00031_0031_108936_to_118378,ཤ་དང་ཁྲག་གི་འདམ་བྱུགས་པའི། རུས་པའི་གྲོང་ཁྱེར་བྱས་པ་དེར། རྒ་བ་དང་ནི་ ,sha dang khrag gi 'dam byugs pa'i/_rus pa'i grong khyer byas pa der/_rga ba dang ni _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00031_0031_108936_to_118378.wav,STT_AB,3,68,9.442,wav16k/STT_AB00031_0031_108936_to_118378.wav,ཤ་དང་ཁྲག་གྱི་སདམ་བྱུག་པའི། རུས་སྦའི་གྲོང་ཁྱེར་བྱས་པ་དེར། རྒའ་བ་དང་ནི་
STT_NS0184_0190_1256889_to_1259108,དོན་དག་སྙིང་པོ་ཅིག་ཡོད་རཱ། ཨོ་དེ་ཞེ་དྲག་ཞེ་དྲག ,don dag snying po cig yod rA/_o de zhe drag zhe drag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0184_0190_1256889_to_1259108.wav,STT_NS,3,47,2.219,wav16k/STT_NS0184_0190_1256889_to_1259108.wav,དོན་དག་སྙིང་པོ་ཅིག་ཡོད་རཱ། ཨོ་དེ་ཞེ་དྲག་ཞེ་དྲག
STT_NS0184_0197_1298648_to_1300792,ཨོ་དེ་ནང་བཞིན་ད་ང་ཚོ་གིས་འདིའི་ནང་ལོགས་ལ་ཨེ་ནས།  ,o de nang bzhin da nga tsho gis 'di'i nang logs la e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0184_0197_1298648_to_1300792.wav,STT_NS,3,49,2.144,wav16k/STT_NS0184_0197_1298648_to_1300792.wav,ཨོ་དེ་ནང་བཞིན་ད་ང་ཚོ་གི་དེའི་ནང་ལོགས་ལ་ཨེ་ནས།
STT_NS_M0443_0126_1312326_to_1315972,ལོ། ད་འདི་ནས་ལོ་འདི་ནས་འདི་བར་ལ་འདིས་སྒྲུང་དེབ་ཀློག་ཀི་ཡོད་རེད་འདྲ་བོ་ཡོད་བ། ཨོ་ཨེ་འདྲའི་ཡོད་མ་རཱ།  ,lo/_da 'di nas lo 'di nas 'di bar la 'dis sgrung deb klog ki yod red 'dra bo yod ba/_o e 'dra'i yod ma rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0443_0126_1312326_to_1315972.wav,STT_NS,3,100,3.646,wav16k/STT_NS_M0443_0126_1312326_to_1315972.wav,ལོ་ད་འདི་ནས་ལོ་འདི་ནས་འདིའི་བར་ལ་འདི་སྒྲུང་དེབ་ཀློག་གི་ཡོད་རེད་འདྲ་བོ་ཡོད་བ། ཨོ་ཨེ་འདྲའི་ཡོད་མ་རཱ།
STT_NS0184_0186_1234598_to_1239377,ད་ཅིག་ངས་ག་རེ་ཤེས་མ་སོང་ལབ་ན། ད་ལྟ་ལྷུག་རྩོམ་གི་ཁྱད་ཆོས་ཅིག་འདུག་བ་རཱ་ཡ། ཨོང་།  ,da cig ngas ga re shes ma song lab na/_da lta lhug rtsom gi khyad chos cig 'dug ba rA ya/_ong /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0184_0186_1234598_to_1239377.wav,STT_NS,3,80,4.779,wav16k/STT_NS0184_0186_1234598_to_1239377.wav,ད་གཅིག་ངས་ག་རེ་ཤེས་མ་སོང་ལབ་ན་ ད་ལྟ་ལྷུག་རྩོམ་གི་ཁྱད་ཆོས་ཅིག་འདུག་བ་རཱ་ཡ།
STT_AB00031_0056_195842_to_204634,འདུས་མ་བྱས་ལ་བགྲོད་པའི་སེམས། སྲེད་པ་ཟད་པ་འཐོབ་པར་འགྱུར། དྲང་སྲོང་ལྷུང་བར་རོ།  ,'dus ma byas la bgrod pa'i sems/_sred pa zad pa 'thob par 'gyur/_drang srong lhung bar ro/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00031_0056_195842_to_204634.wav,STT_AB,3,78,8.792,wav16k/STT_AB00031_0056_195842_to_204634.wav,འདུས་མ་བྱས་ལ་བགྲོད་པའི་སེམས། སྲད་པ་ཟད་པ་ཐོབ་པར་འགྱུར། དྲང་སྲོང་ལྷུང་པར་རོ།
